user_id,age,gender,workout_type,avg_daily_steps,subscription,app_rating,goal_achieved
1,56,M,S,9421,free,4.0,1
2,46,M,D,8951,free,3.0,1
3,32,F,C,10231,free,2.0,1
4,60,M,D,7569,free,2.0,0
5,25,F,S,10138,free,4.0,1
6,38,M,C,13365,pro,4.0,1
7,56,M,,8079,pro,3.0,0
8,36,M,Y,7138,free,4.0,0
9,40,M,,8422,pro,4.0,0
10,28,F,Y,7515,pro,3.0,0
11,28,F,C,8550,free,4.0,1
12,41,F,C,11066,free,4.0,1
13,53,F,S,12595,pro,4.0,1
14,57,M,S,9412,free,4.0,1
15,41,F,S,9051,pro,4.0,1
16,20,F,D,10105,free,2.0,1
17,39,F,D,4472,pro,3.0,0
18,19,M,D,7089,free,2.0,0
19,41,F,Y,3356,free,5.0,0
20,47,F,S,7568,pro,2.0,0
21,55,F,S,6965,free,3.0,0
22,19,F,S,11955,free,5.0,1
23,38,F,Y,2477,free,5.0,0
24,50,F,,8166,free,4.0,1
25,29,F,S,10239,free,1.0,1
26,39,M,,11721,pro,1.0,1
27,42,F,S,11423,free,3.0,1
28,44,F,D,9522,pro,2.0,1
29,59,F,Y,9948,pro,1.0,1
30,45,M,C,7222,pro,4.0,0
31,33,M,D,6723,free,5.0,0
32,32,F,Y,5634,pro,3.0,0
33,20,M,,11345,free,4.0,1
34,54,F,C,10897,pro,4.0,1
35,24,M,C,12027,pro,3.0,1
36,38,M,C,9137,pro,4.0,1
37,26,F,D,6554,free,3.0,0
38,56,F,S,10118,pro,2.0,1
39,35,M,D,7361,free,4.0,0
40,21,M,C,9359,pro,2.0,1
41,42,M,C,9883,pro,5.0,1
42,31,F,S,7178,free,3.0,0
43,26,M,C,9666,pro,4.0,1
44,43,F,S,6048,free,4.0,0
45,19,F,D,9397,free,2.0,1
46,37,M,S,12312,free,1.0,1
47,45,F,S,8421,free,4.0,1
48,24,F,C,11144,pro,5.0,1
49,25,M,C,11272,free,5.0,1
50,11,F,C,10233,free,4.0,1
51,31,F,S,8006,pro,4.0,0
52,34,F,,13639,pro,4.0,1
53,53,F,S,8185,pro,4.0,0
54,57,F,,10996,pro,4.0,1
55,21,F,S,11260,pro,4.0,1
56,19,F,C,5583,free,5.0,0
57,23,F,C,8782,free,3.0,1
58,74,F,D,9313,pro,5.0,1
59,21,F,Y,8766,free,4.0,1
60,46,M,S,11002,pro,3.0,1
61,35,M,C,11215,free,1.0,1
62,43,M,D,8684,free,3.0,1
63,51,M,Y,9409,free,4.0,1
64,27,M,C,11310,pro,5.0,1
65,53,F,D,5965,free,2.0,0
66,31,M,C,10964,pro,5.0,1
67,48,F,,9998,free,5.0,1
68,32,M,S,11417,free,3.0,1
69,25,F,C,11774,pro,5.0,1
70,31,F,D,11868,pro,5.0,1
71,40,F,Y,8837,free,4.0,1
72,57,F,S,11427,pro,4.0,1
73,38,M,C,11574,free,5.0,1
74,33,F,C,8553,free,4.0,1
75,35,M,C,11152,free,3.0,1
76,41,F,Y,7318,pro,5.0,0
77,75,M,C,11599,pro,4.0,1
78,42,F,S,9654,free,4.0,1
79,58,F,Y,11302,pro,3.0,1
80,46,M,C,11341,free,4.0,1
81,32,M,Y,10828,free,2.0,1
82,18,M,C,10001,free,5.0,1
83,42,M,D,8009,free,3.0,1
84,24,F,S,8450,free,2.0,1
85,26,M,C,10732,free,4.0,1
86,41,M,C,7282,pro,1.0,0
87,18,M,S,12363,free,4.0,1
88,25,F,Y,8587,free,5.0,1
89,41,M,Y,7869,free,5.0,0
90,28,M,S,4640,free,2.0,0
91,13,M,C,10126,free,2.0,1
92,25,M,C,11003,pro,5.0,1
93,52,F,C,7205,free,5.0,0
94,52,M,S,9053,pro,4.0,1
95,50,M,D,9846,pro,4.0,1
96,22,F,S,7823,free,3.0,0
97,59,F,C,11343,pro,5.0,1
98,56,M,S,7702,free,4.0,0
99,58,F,Y,9509,pro,3.0,1
