user_id,age,gender,workout_type,avg_daily_steps,subscription,app_rating,goal_achieved
1,56,M,S,6725,free,4.0,0.0
2,46,M,D,3806,pro,5.0,0.0
3,32,F,C,8983,free,3.0,1.0
4,60,M,D,7026,pro,4.0,0.0
5,25,F,S,9604,pro,5.0,1.0
6,38,M,C,7461,free,4.0,
7,56,M,C,7266,pro,4.0,0.0
8,36,M,Y,3382,pro,5.0,0.0
9,40,M,Y,5376,free,2.0,0.0
10,28,F,Y,8818,pro,5.0,1.0
11,28,F,C,9828,free,2.0,1.0
12,41,F,C,6563,free,4.0,0.0
13,53,F,S,5617,free,5.0,0.0
14,57,M,S,6504,free,3.0,0.0
15,41,F,S,5551,pro,4.0,0.0
16,20,F,D,6614,pro,3.0,0.0
17,39,F,D,5015,pro,5.0,0.0
18,19,M,D,7047,free,5.0,
19,41,F,Y,3889,pro,4.0,0.0
20,47,F,S,5839,free,4.0,0.0
21,55,F,S,5279,pro,5.0,0.0
22,19,F,S,8234,free,3.0,1.0
23,38,F,Y,4186,free,4.0,0.0
24,50,F,C,8271,pro,4.0,1.0
25,29,F,S,7610,free,3.0,
26,39,M,C,7379,free,2.0,0.0
27,42,F,S,6028,free,2.0,0.0
28,44,F,D,5580,free,2.0,0.0
29,59,F,Y,4363,free,5.0,0.0
30,45,M,C,8359,free,4.0,1.0
31,33,M,D,4480,free,4.0,0.0
32,32,F,Y,4722,free,3.0,0.0
33,20,M,C,11623,pro,3.0,1.0
34,54,F,C,8141,free,3.0,1.0
35,24,M,C,9956,pro,4.0,1.0
36,38,M,C,6687,pro,4.0,0.0
37,26,F,D,7330,free,5.0,
38,56,F,S,6484,pro,4.0,0.0
39,35,M,D,4355,pro,4.0,0.0
40,21,M,C,11716,pro,4.0,1.0
41,42,M,C,7646,free,5.0,0.0
42,31,F,S,5926,free,4.0,0.0
43,26,M,C,10485,pro,1.0,1.0
44,43,F,S,5306,pro,4.0,0.0
45,19,F,D,6892,pro,4.0,0.0
46,37,M,S,6370,free,4.0,0.0
47,45,F,S,6302,pro,3.0,0.0
48,24,F,C,10300,pro,5.0,1.0
49,25,M,C,10883,free,5.0,1.0
50,11,F,C,8030,free,3.0,1.0
51,31,F,S,6680,free,5.0,0.0
52,34,F,C,8361,pro,2.0,1.0
53,53,F,S,6705,pro,2.0,0.0
54,57,F,S,7595,pro,2.0,0.0
55,21,F,S,6254,free,2.0,0.0
56,19,F,C,11279,free,5.0,1.0
57,23,F,C,9365,free,2.0,1.0
58,74,F,D,4895,free,3.0,0.0
59,21,F,Y,6311,pro,2.0,0.0
60,46,M,S,6440,pro,3.0,0.0
61,35,M,C,8956,pro,2.0,1.0
62,43,M,D,5861,pro,4.0,0.0
63,51,M,Y,4406,free,2.0,0.0
64,27,M,C,10577,free,5.0,1.0
65,53,F,D,5531,pro,5.0,0.0
66,31,M,C,8986,pro,1.0,1.0
67,48,F,S,5558,free,5.0,0.0
68,32,M,S,5414,free,1.0,0.0
69,25,F,C,10195,free,3.0,1.0
70,31,F,D,5134,pro,1.0,0.0
71,40,F,Y,4832,free,3.0,0.0
72,57,F,S,5663,free,4.0,0.0
73,38,M,C,8246,free,4.0,1.0
74,33,F,C,8047,free,3.0,1.0
75,35,M,C,7647,pro,4.0,0.0
76,41,F,Y,4821,free,3.0,0.0
77,75,M,C,7771,pro,4.0,0.0
78,42,F,S,6898,pro,3.0,0.0
79,58,F,Y,5790,pro,2.0,0.0
80,46,M,C,8680,free,3.0,1.0
81,32,M,Y,5347,pro,3.0,0.0
82,18,M,C,11369,free,4.0,1.0
83,42,M,D,5542,pro,5.0,0.0
84,24,F,S,9826,pro,2.0,1.0
85,26,M,C,8747,free,4.0,1.0
86,41,M,C,8354,free,4.0,1.0
87,18,M,S,9904,free,5.0,1.0
88,25,F,Y,6401,free,3.0,0.0
89,41,M,Y,4540,free,4.0,0.0
90,28,M,S,7073,free,5.0,0.0
91,13,M,C,7738,free,4.0,0.0
92,25,M,C,10314,free,3.0,1.0
93,52,F,C,8438,free,2.0,1.0
94,52,M,S,6423,free,3.0,0.0
95,50,M,D,5332,free,4.0,0.0
96,22,F,S,7189,free,4.0,0.0
97,59,F,C,7419,free,2.0,0.0
98,56,M,S,5930,free,4.0,0.0
99,58,F,Y,4609,pro,4.0,0.0
100,45,F,Y,5336,free,4.0,0.0
101,24,M,D,6885,free,4.0,0.0
102,26,F,C,9792,free,5.0,1.0
103,25,F,C,11658,pro,3.0,1.0
104,29,F,D,7303,pro,5.0,0.0
105,51,M,Y,5557,pro,3.0,0.0
106,50,M,C,8796,pro,3.0,1.0
107,40,F,Y,3968,free,3.0,0.0
108,41,F,Y,5213,free,2.0,0.0
109,54,F,S,6370,free,3.0,
110,52,M,Y,4135,pro,2.0,0.0
111,57,F,S,6375,pro,5.0,0.0
112,39,F,S,6709,pro,2.0,0.0
